date,id,price,original_price,unit_value,unit_basis,promotion,availability,delisted
2026-09-12,404125,2.85,0,1.43,L,,,
2026-09-12,888825,2.99,0,3.74,kg,,,
2026-09-12,703285,2.8,0,9.33,kg,,,
2026-09-12,615970,6.27,0,10.45,kg,,,
2026-09-12,906882,2.99,0,11.96,kg,,,
2026-09-12,800487,3.25,0,14.44,kg,,,
2026-09-12,906001,1.4,0,7,kg,,,
2026-09-12,784773,4.15,0,0.35,pc,,,
2026-09-12,831392,1.99,0,13.27,kg,,,
2026-09-12,905119,2.2,2.8,11,kg,,,
2026-09-12,800591,1.95,0,2.17,kg,,,
2026-09-12,108783,1.79,0,3.25,kg,,,
2026-09-12,902231,6.84,0,7.6,kg,,,
2026-09-12,857232,4.25,0,5.31,kg,,,
2026-09-12,903005,4.28,0,5.71,kg,,,
2026-09-12,896880,2.49,0,8.3,kg,,,
2026-09-12,881310,2.49,0,5.93,kg,,,
2026-09-12,873734,3.99,0,8.87,kg,,,
2026-09-12,760013,3.99,0,8.14,kg,,,
2026-09-12,790517,0.79,0,1.58,kg,,,
2026-09-12,879463,1.99,0,3.98,kg,,,
2026-09-12,899949,2.95,0,1.97,kg,,,
2026-09-12,837230,16.49,0,8.25,L,,,
2026-09-12,821581,6.39,0,2.13,L,,,
2026-09-12,785711,0.99,0,0.99,kg,,,
2026-09-12,863983,3.06,0,2.55,kg,,,
2026-09-12,128100,1.99,0,3.98,kg,,,
2026-09-12,765561,2.19,0,14.6,kg,,,
2026-09-12,111465,3.55,0,7.1,kg,,,
2026-09-12,894152,3.65,0,6.64,kg,,,
2026-09-12,129681,3.59,0,17.95,kg,,,
2026-09-12,803448,2.3,0,0.06,pc,,,
2026-09-12,777472,3.19,0,6.72,kg,,,
2026-09-12,618125,1.99,0,5.38,kg,,,
2026-09-12,134531,3.59,0,8.98,kg,,,
2026-09-12,782097,3.15,0,6.3,kg,,,
2026-09-12,893602,2.1,0,13.13,kg,,,
2026-09-12,618973,2.19,0,24.33,kg,,,
2026-09-12,619770,3.95,0,1.76,L,,,
2026-09-12,402660,2.25,0,0.25,L,,,
2026-09-12,108140,1.95,0,1.3,L,,,
2026-09-12,342813,7.99,0,2,L,,,
2026-09-12,108839,3.59,0,4.79,L,,,
2026-09-12,901801,3.69,0,3.35,kg,,,
2026-09-12,901802,0.91,0,1.3,kg,,,
2026-09-12,770756,3.51,0,1.76,kg,,,
2026-09-12,864395,3.09,0,1.93,kg,,,
2026-09-12,901457,2.15,0,2.15,kg,,,
2026-09-12,861853,1.99,2.65,2.49,kg,,,
2026-09-12,901100,2.34,0,1.95,kg,,,
2026-09-12,901832,0.85,0,1.7,kg,,,
2026-09-12,761110,0.66,0,4.4,kg,,,
2026-09-12,865040,1.46,0,1.95,kg,,,
2026-09-12,901810,4.45,0,6.36,kg,,,
2026-09-12,787232,3.99,0,0.399,pc,,,
2026-09-12,787229,2.59,0,3.2375,kg,,,
2026-09-12,441027,1.55,0,2.07,L,,,
2026-09-12,630347,9.35,0,0.28,pc,,,
2026-09-12,610233,1.79,0,17.9,L,,,
