id,group,title,brand,ean,weekly_qty,basis,unit_price_source,hand_pack_size,note,entered,exited
404125,dairy,Charalambides Christis Charalambides Fresh Milk 1.5% Fat 2 L,Charalambides Christis,5290129000240,6,L,comparisonPrice,,"fresh milk 1.5%, 3 x 2 L",2026-09-12,
888825,dairy,Alphamega Strained Yoghurt 800 g,Alphamega,5292459007128,1.6,kg,comparisonPrice,,"strained yoghurt, 2 tubs",2026-09-12,
703285,dairy,"Danone Danonino Yoghurt Dessert For Children With Strawberry, Banana And Apricot Flavour 6x50 g",Danonino,5200326100070,0.6,kg,comparisonPrice,,kids fruit yoghurt dessert,2026-09-12,
615970,dairy,Charalambides Christis Halloumi P.D.O Cheese 3 Pcs 600 g Family Pack,Charalambides Christis,2836446000001,0.6,kg,comparisonPrice,,halloumi PDO family pack,2026-09-12,
906882,dairy,Elarti Feta Cheese P.D.O. 250 g,Elarti,2106882000003,0.25,kg,comparisonPrice,,feta PDO,2026-09-12,
800487,dairy,Lurpak® Salted Butter 225 g,Lurpak®,5740900402102,0.225,kg,comparisonPrice,,salted butter,2026-09-12,
906001,dairy,Friendship Edam Cheese (10 slices) 200 g,Friendship,2106001000006,0.4,kg,comparisonPrice,,"edam slices, 2 packs",2026-09-12,
784773,dairy,Nikiforou Fresh Eggs Medium Size 12 Pieces,Nikiforou,5292006000152,12,pc,comparisonPrice,,"medium eggs, dozen",2026-09-12,
831392,dairy,Alphamega Ham 150 g,Alphamega,5292459004844,0.3,kg,comparisonPrice,,"ham slices, 2 packs",2026-09-12,
905119,dairy,Grigoriou Lountza 1.5% Fat Gluten Free (12 slices) 200 g,Grigoriou,2105119000007,0.2,kg,comparisonPrice,,lountza,2026-09-12,
800591,bakery,Alphamega White Sliced Bread 900 g,Alphamega,5292459002901,1.8,kg,comparisonPrice,,"white sliced bread, 2 loaves",2026-09-12,
108783,bakery,Artozym 5 Traditional Cyprus Pitta Bread 550 g,Artozym,5290157000014,0.55,kg,comparisonPrice,,"Cyprus pitta, pack of 5",2026-09-12,
902231,meat,Navarro Fresh Chicken Breast Fillet 900 g,Navarro,2810401000008,1.8,kg,comparisonPrice,,"chicken breast fillet, 2 packs",2026-09-12,
857232,meat,Alphamega Fresh To Go Pre Packed Pork Mince 800 g,Alphamega,5292459005971,0.8,kg,comparisonPrice,,pork mince,2026-09-12,
903005,meat,Alphamega Fresh To Go Pork Chops Pre Packed 750 g,Alphamega,903005,0.75,kg,comparisonPrice,,pork chops,2026-09-12,
896880,meat,Alphamega Traditional Sausages with Wine 300 g,Alphamega,5292459007999,0.3,kg,comparisonPrice,,traditional sausages,2026-09-12,
881310,frozen,Barba Stathis Frozen Peas 420 g,Barba Stathis,5201262221775,0.42,kg,comparisonPrice,,frozen peas,2026-09-12,
873734,frozen,Casino Kids 15 Breaded Fish Fingers 450 g,Casino,3222477491519,0.45,kg,comparisonPrice,,fish fingers,2026-09-12,
760013,frozen,Grigoriou Pizza Special 490 g,Grigoriou,5290008008015,0.98,kg,comparisonPrice,,"frozen pizza, 2",2026-09-12,
790517,cupboard,Alphamega Spaghetti 500 g,Alphamega,5292459002321,1.0,kg,comparisonPrice,,"spaghetti, 2 packs",2026-09-12,
879463,cupboard,Mitsides Wild Parboiled Rice 500 g,Mitsides,5290035006534,1.0,kg,comparisonPrice,,"parboiled rice, 2 packs",2026-09-12,
899949,cupboard,Homepride Plain Pre-Sieved Flour 1.5 kg,Homepride,5012362001651,0.5,kg,comparisonPrice,,plain flour (1.5 kg bag / 3 weeks),2026-09-12,
837230,cupboard,Alphamega Cyprus Extra Virgin Olive Oil 2 L,Alphamega,5292459005285,0.5,L,comparisonPrice,,Cyprus extra virgin olive oil (2 L / 4 weeks),2026-09-12,
