id,ean,title,title_gr,brand,cat1,cat2,cat3,subcategory,unit_basis,pack_size_ml,organic,vegan,vegetarian,gluten_free,lactose_free,kosher,meat_free,image_url,first_seen,last_seen,delisted_on
100038,5099873090473,Jack Daniel's No7 Τennessee Whiskey 40% 700 ml,Jack Daniel's No7 Τennessee Ουίσκι 40% 700 ml,Jack Daniel's,Alcoholic Drinks,"Whisky, Vodka, Gin & Others",Blended Whisky,Blended Whisky,L,700,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100038.jpg,2026-09-12,2026-09-18,
100042,,Sierra Silver Tequila 38% 700 ml,Sierra Silver Τεκίλα 38% 700 ml,Sierra,Alcoholic Drinks,"Whisky, Vodka, Gin & Others",Tequila,Tequila,L,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100042.jpg,2026-09-12,2026-09-18,
100045,6412709021776,Finlandia Vodka 40% 700 ml,Finlandia Βότκα 40% 700 ml,Finlandia,Alcoholic Drinks,"Whisky, Vodka, Gin & Others",Vodka,Vodka,L,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100045.jpg,2026-09-12,2026-09-18,
100146,40267609,UHU Stick 8.2 g,UHU Κόλλα Stick 8.2 g,UHU,Homeware,Stationery,,Stationary,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100146.jpg,2026-09-12,2026-09-18,
100147,40267425,UHU Stick 21 g,UHU Κόλλα Stick 21 g,UHU,Homeware,Stationery,,Stationary,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100147.jpg,2026-09-12,2026-09-18,
100148,40267708,UHU Stic 40 g,UHU Κόλλα σε Στίκ 40 g,UHU,Homeware,Stationery,,Stationary,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100148.jpg,2026-09-12,2026-09-18,
100168,4026700144246,UHU Patafix Gluepads 80 Pieces,UHU Patafix Αυτοκόλλητα σε Μορφή Πλαστελίνης 80 Τεμάχια,UHU,Homeware,Stationery,,Stationary,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100168.jpg,2026-09-12,2026-09-18,
100183,5000399001812,Bostik Blu Tack Original CE,Bostik Blu Tack Original CE,Bostik,Homeware,Stationery,,Supplies,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100183.jpg,2026-09-12,2026-09-18,
100213,52913990,Supra Nail Polish Remover 125 ml,Supra Ξεβαφτικό Νυχιών 125 ml,Supra,Personal Care,Make Up & Nail Care,Nail Varnish & Care,Nail Varnish & Care,L,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100213.jpg,2026-09-12,2026-09-18,
100400,4002468021319,Hochland Processed Cheddar Cheese Food Slices 200 g,Hochland Τηγμένο Τυρί με Cheddar σε Φέτες 200 g,Hochland,Chilled,"Cheese, Haloumi & Spreads",Sliced Cheese,Other Cheese Slices,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100400.jpg,2026-09-12,2026-09-18,
100457,5290019000053,G.Charalambous Gold Coffee Mocca Blend 200 g,Γ.Χαραλάμπους Χρυσός Καφές Χαρμάνι Μόκκα 200 g,G.Charalambous,Food Cupboard,"Coffee, Tea & Cocoa",Coffee,Cyprus Coffee,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100457.jpg,2026-09-12,2026-09-18,
100459,5290019000060,G. Charalambous Silver Cypriot Coffee 200 g,Γ. Χαραλάμπους Κυπριακός Καφές 200 g,G.Charalambous,Food Cupboard,"Coffee, Tea & Cocoa",Coffee,Cyprus Coffee,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100459.jpg,2026-09-12,2026-09-18,
100471,5290019000091,G.Charalambous Icing Sugar 500 g,Γ.Χαραλάμπους Ζάχαρη Άχνη 500 g,G.Charalambous,Food Cupboard,Home Baking,Sugar & Sweeteners,Sugar,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100471.jpg,2026-09-12,2026-09-18,
100475,5290019000169,G.Charalambous Sherbet 227 g,Γ.Χαραλάμπους Αφρόζα 227 g,G.Charalambous,Drinks,"Soft Drinks, Ice Tea & Soda & Tonic",Soft Drinks,Soft Drinks,L,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100475.jpg,2026-09-12,2026-09-18,
100590,3035542004206,Cointreau L'Unique Liqueur 40% 700 ml,Cointreau L'Unique Λικέρ 40% 700 ml,Cointreau,Alcoholic Drinks,"Whisky, Vodka, Gin & Others",Liqueur,Liqueur,L,700,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100590.jpg,2026-09-12,2026-09-18,
100606,5010314101015,The Famous Grouse Blended Scotch Whisky 40% 1 L,The Famous Grouse Blended Σκωτσέζικο Ουίσκι 40% 1 L,The Famous Grouse,Alcoholic Drinks,"Whisky, Vodka, Gin & Others",Blended Whisky,Blended Whisky,,1000,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100606.jpg,2026-09-12,2026-09-18,
100735,5290035000051,Mitsides Tricolore Fusilli Pasta 500 g,Μιτσίδης Μακαρόνια Τρικολόρε Στριφτό 500 g,Mitsides,Food Cupboard,"Pasta, Rice & Noodles","Pasta, Wholewheat Pasta & Gluten Free Pasta",Pasta,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100735.jpg,2026-09-12,2026-09-18,
100739,5290035000099,Mitsides Traditional Cyprus Macaroni 500 g,Μιτσίδης Χωριάτικα Μακαρόνια 500 g,Mitsides,Food Cupboard,"Pasta, Rice & Noodles","Pasta, Wholewheat Pasta & Gluten Free Pasta",Pasta,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100739.jpg,2026-09-12,2026-09-18,
100745,5290035000150,Mitsides Spaghetti 500 g,Μιτσίδης Μακαρόνια Σπαγέττι 500 g,Mitsides,Food Cupboard,"Pasta, Rice & Noodles","Pasta, Wholewheat Pasta & Gluten Free Pasta",Pasta,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100745.jpg,2026-09-12,2026-09-18,
100748,5290035000181,Mitsides Pasta Mezzani 'A' 500 g,Μιτσίδης Μακαρόνια Mezzani 'A' 500 g,Mitsides,Food Cupboard,"Pasta, Rice & Noodles","Pasta, Wholewheat Pasta & Gluten Free Pasta",Pasta,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100748.jpg,2026-09-12,2026-09-18,
100750,5290035000204,Mitsides Mazzanelli 'B' 500 g,Μιτσίδης Μακαρόνια Mazzanelli 'B' 500 g,Mitsides,Food Cupboard,"Pasta, Rice & Noodles","Pasta, Wholewheat Pasta & Gluten Free Pasta",Pasta,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100750.jpg,2026-09-12,2026-09-18,
100756,5290035000266,Mitsides Whole Wheat Spaghetti 500 g,Μιτσίδης Σπαγέττι Ολικής Άλεσης 500 g,Mitsides,Food Cupboard,"Pasta, Rice & Noodles","Pasta, Wholewheat Pasta & Gluten Free Pasta",Wholewheat Pasta,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100756.jpg,2026-09-12,2026-09-18,
100758,5290035000648,Mitsides Pasta Fusilli 500 g,Μιτσίδης Μακαρόνια Στιφτό 500 g,Mitsides,Food Cupboard,"Pasta, Rice & Noodles","Pasta, Wholewheat Pasta & Gluten Free Pasta",Pasta,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100758.jpg,2026-09-12,2026-09-18,
100771,5290035000440,Mitsides Pasta Conchiglie 500 g,Μιτσίδης Μακαρόνια Κοχύλια 500 g,Mitsides,Food Cupboard,"Pasta, Rice & Noodles","Pasta, Wholewheat Pasta & Gluten Free Pasta",Pasta,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100771.jpg,2026-09-12,2026-09-18,
100773,5290035000464,Mitsides Pasta Denti Rigati 500 g,Μιτσίδης Μακαρόνια Σελλενάκι 500 g,Mitsides,Food Cupboard,"Pasta, Rice & Noodles","Pasta, Wholewheat Pasta & Gluten Free Pasta",Pasta,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100773.jpg,2026-09-12,2026-09-18,
100775,5290035000488,Mitsides Shrimp Shaped Pasta 500 g,Μιτσίδης Ζυμαρικά σε Σχήμα Γαρίδας 500 g,Mitsides,Food Cupboard,"Pasta, Rice & Noodles","Pasta, Wholewheat Pasta & Gluten Free Pasta",Pasta,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100775.jpg,2026-09-12,2026-09-18,
100777,5290035000501,Mitsides Barley Orzo 500 g,Μιτσίδης Kριθαράκι 500 g,Mitsides,Food Cupboard,"Pasta, Rice & Noodles","Pasta, Wholewheat Pasta & Gluten Free Pasta",Pasta,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100777.jpg,2026-09-12,2026-09-18,
100789,5290035000013,Mitsides Plain Flour «00» 1 kg,Μιτσίδης Αλεύρι Φαρίνα «00» 1 kg,Mitsides,Food Cupboard,Home Baking,Flour,Flour,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100789.jpg,2026-09-12,2026-09-18,
100790,5290035000020,Mitsides Semolina flour 1 kg,Μιτσίδης Σιμιγδάλι 1 kg,Mitsides,Food Cupboard,Home Baking,Flour,Flour,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/100790.jpg,2026-09-12,2026-09-18,
