date,key,station_id,fuel,event,price,prev_price
2026-09-13,1044095b4cde:unleaded95,1044095b4cde,unleaded95,new,1.597,
2026-09-13,1b148a05085c:unleaded95,1b148a05085c,unleaded95,new,1.625,
2026-09-13,73805dddf7aa:unleaded95,73805dddf7aa,unleaded95,new,1.645,
2026-09-13,01d291cc5e9f:unleaded95,01d291cc5e9f,unleaded95,new,1.599,
2026-09-13,428b07ccf758:unleaded95,428b07ccf758,unleaded95,new,1.647,
2026-09-13,54ff5ad55f16:unleaded95,54ff5ad55f16,unleaded95,new,1.689,
2026-09-13,5dd7d7a9710d:unleaded95,5dd7d7a9710d,unleaded95,new,1.589,
2026-09-13,ab868b4b332e:unleaded95,ab868b4b332e,unleaded95,new,1.648,
2026-09-13,b08cefca3ef4:unleaded95,b08cefca3ef4,unleaded95,new,1.689,
2026-09-13,8e414da9ad9e:unleaded95,8e414da9ad9e,unleaded95,new,1.660,
2026-09-13,59fe848dcc1d:unleaded95,59fe848dcc1d,unleaded95,new,1.617,
2026-09-13,772be93750d2:unleaded95,772be93750d2,unleaded95,new,1.647,
2026-09-13,2435de52a3ba:unleaded95,2435de52a3ba,unleaded95,new,1.599,
2026-09-13,67516854f59e:unleaded95,67516854f59e,unleaded95,new,1.599,
2026-09-13,41841cb23dbd:unleaded95,41841cb23dbd,unleaded95,new,1.599,
2026-09-13,bc3de85eae09:unleaded95,bc3de85eae09,unleaded95,new,1.609,
2026-09-13,2d1dc84554ad:unleaded95,2d1dc84554ad,unleaded95,new,1.613,
2026-09-13,14ab75b4aa66:unleaded95,14ab75b4aa66,unleaded95,new,1.615,
2026-09-13,f06cc2016c8b:unleaded95,f06cc2016c8b,unleaded95,new,1.645,
2026-09-13,a63d37840b3e:unleaded95,a63d37840b3e,unleaded95,new,1.645,
2026-09-13,0aefcb943b9f:unleaded95,0aefcb943b9f,unleaded95,new,1.645,
2026-09-13,f3cb3f8d3a20:unleaded95,f3cb3f8d3a20,unleaded95,new,1.645,
2026-09-13,daf0981942c3:unleaded95,daf0981942c3,unleaded95,new,1.599,
2026-09-13,32039ce18953:unleaded95,32039ce18953,unleaded95,new,1.617,
2026-09-13,1a16860d8e30:unleaded95,1a16860d8e30,unleaded95,new,1.669,
2026-09-13,ed2f040407db:unleaded95,ed2f040407db,unleaded95,new,1.613,
2026-09-13,4ac8836fa7fb:unleaded95,4ac8836fa7fb,unleaded95,new,1.619,
2026-09-13,e3a6cf9b7017:unleaded95,e3a6cf9b7017,unleaded95,new,1.647,
2026-09-13,77450002346a:unleaded95,77450002346a,unleaded95,new,1.638,
2026-09-13,01ce074bf8e9:unleaded95,01ce074bf8e9,unleaded95,new,1.689,
2026-09-13,0f0ceccc2b7e:unleaded95,0f0ceccc2b7e,unleaded95,new,1.645,
2026-09-13,2d7b1e4bf3fa:unleaded95,2d7b1e4bf3fa,unleaded95,new,1.599,
2026-09-13,9cf1024093d0:unleaded95,9cf1024093d0,unleaded95,new,1.649,
2026-09-13,d81649f97c28:unleaded95,d81649f97c28,unleaded95,new,1.669,
2026-09-13,4d8c91cbdf87:unleaded95,4d8c91cbdf87,unleaded95,new,1.599,
2026-09-13,d825945d0dc1:unleaded95,d825945d0dc1,unleaded95,new,1.645,
2026-09-13,08c3056f889a:unleaded95,08c3056f889a,unleaded95,new,1.647,
2026-09-13,5bbb1e8908dc:unleaded95,5bbb1e8908dc,unleaded95,new,1.647,
2026-09-13,04eb0dc6ce16:unleaded95,04eb0dc6ce16,unleaded95,new,1.645,
2026-09-13,5a578950625a:unleaded95,5a578950625a,unleaded95,new,1.648,
2026-09-13,0cd6f55cdb37:unleaded95,0cd6f55cdb37,unleaded95,new,1.589,
2026-09-13,6e239d2282b3:unleaded95,6e239d2282b3,unleaded95,new,1.599,
2026-09-13,97bbb156e70b:unleaded95,97bbb156e70b,unleaded95,new,1.599,
2026-09-13,09f80e0d2a27:unleaded95,09f80e0d2a27,unleaded95,new,1.599,
2026-09-13,73117467c0c8:unleaded95,73117467c0c8,unleaded95,new,1.609,
2026-09-13,123bfd0e9e3a:unleaded95,123bfd0e9e3a,unleaded95,new,1.619,
2026-09-13,30e807950de4:unleaded95,30e807950de4,unleaded95,new,1.645,
2026-09-13,ba65517bf3ed:unleaded95,ba65517bf3ed,unleaded95,new,1.647,
2026-09-13,3fdaa889148c:unleaded95,3fdaa889148c,unleaded95,new,1.649,
2026-09-13,119d69819e8d:unleaded95,119d69819e8d,unleaded95,new,1.649,
2026-09-13,cfe2df3cdc21:unleaded95,cfe2df3cdc21,unleaded95,new,1.649,
2026-09-13,bcb9accad3db:unleaded95,bcb9accad3db,unleaded95,new,1.649,
2026-09-13,792650a717af:unleaded95,792650a717af,unleaded95,new,1.649,
2026-09-13,40e8c72b6e83:unleaded95,40e8c72b6e83,unleaded95,new,1.659,
2026-09-13,aea2d6e66b8f:unleaded95,aea2d6e66b8f,unleaded95,new,1.619,
2026-09-13,1a10004ef1a9:unleaded95,1a10004ef1a9,unleaded95,new,1.589,
2026-09-13,b920f34d9678:unleaded95,b920f34d9678,unleaded95,new,1.597,
2026-09-13,0ec6995b7755:unleaded95,0ec6995b7755,unleaded95,new,1.599,
2026-09-13,77af34d3792b:unleaded95,77af34d3792b,unleaded95,new,1.599,
2026-09-13,64c1bca40276:unleaded95,64c1bca40276,unleaded95,new,1.599,
2026-09-13,1f9b60bded75:unleaded95,1f9b60bded75,unleaded95,new,1.599,
2026-09-13,d59f16d1ea1f:unleaded95,d59f16d1ea1f,unleaded95,new,1.609,
2026-09-13,3dc149493178:unleaded95,3dc149493178,unleaded95,new,1.615,
2026-09-13,2676e12059bc:unleaded95,2676e12059bc,unleaded95,new,1.615,
2026-09-13,99e322d6ea26:unleaded95,99e322d6ea26,unleaded95,new,1.615,
2026-09-13,6ca3bacda2ef:unleaded95,6ca3bacda2ef,unleaded95,new,1.619,
2026-09-13,dc18f4cb1ad3:unleaded95,dc18f4cb1ad3,unleaded95,new,1.625,
2026-09-13,e6d810278243:unleaded95,e6d810278243,unleaded95,new,1.645,
2026-09-13,cc747759de94:unleaded95,cc747759de94,unleaded95,new,1.645,
2026-09-13,0708c47ecb63:unleaded95,0708c47ecb63,unleaded95,new,1.645,
2026-09-13,da0b210a2136:unleaded95,da0b210a2136,unleaded95,new,1.645,
2026-09-13,43962c7fecd8:unleaded95,43962c7fecd8,unleaded95,new,1.649,
2026-09-13,458aa789203d:unleaded95,458aa789203d,unleaded95,new,1.649,
2026-09-13,0fa89e115816:unleaded95,0fa89e115816,unleaded95,new,1.649,
2026-09-13,0f4f50ae5f90:unleaded95,0f4f50ae5f90,unleaded95,new,1.649,
2026-09-13,42e035b752d8:unleaded95,42e035b752d8,unleaded95,new,1.649,
2026-09-13,8d38472ccb06:unleaded95,8d38472ccb06,unleaded95,new,1.649,
2026-09-13,a1cbb4c4a9c8:unleaded95,a1cbb4c4a9c8,unleaded95,new,1.649,
2026-09-13,187618635ba0:unleaded95,187618635ba0,unleaded95,new,1.649,
2026-09-13,4f835e812e0f:unleaded95,4f835e812e0f,unleaded95,new,1.649,
2026-09-13,42462b695ab2:unleaded95,42462b695ab2,unleaded95,new,1.649,
2026-09-13,293b8fa19bf7:unleaded95,293b8fa19bf7,unleaded95,new,1.657,
