key,station_id,fuel,price,first_seen,last_seen,delisted_on
00e8792b88ef:diesel,00e8792b88ef,diesel,1.909,2026-09-13,2026-09-14,
00e8792b88ef:heating_oil,00e8792b88ef,heating_oil,1.529,2026-09-13,2026-09-14,
00e8792b88ef:kerosene,00e8792b88ef,kerosene,1.439,2026-09-13,2026-09-14,
00e8792b88ef:unleaded95,00e8792b88ef,unleaded95,1.647,2026-09-13,2026-09-14,
00e8792b88ef:unleaded98,00e8792b88ef,unleaded98,1.697,2026-09-13,2026-09-14,
018228a5741c:diesel,018228a5741c,diesel,1.908,2026-09-13,2026-09-14,
018228a5741c:heating_oil,018228a5741c,heating_oil,1.498,2026-09-13,2026-09-14,
018228a5741c:kerosene,018228a5741c,kerosene,1.408,2026-09-13,2026-09-14,
018228a5741c:unleaded95,018228a5741c,unleaded95,1.646,2026-09-13,2026-09-14,
018228a5741c:unleaded98,018228a5741c,unleaded98,1.696,2026-09-13,2026-09-14,
01ce074bf8e9:diesel,01ce074bf8e9,diesel,1.949,2026-09-13,2026-09-14,
01ce074bf8e9:heating_oil,01ce074bf8e9,heating_oil,1.589,2026-09-13,2026-09-14,
01ce074bf8e9:kerosene,01ce074bf8e9,kerosene,1.499,2026-09-13,2026-09-14,
01ce074bf8e9:unleaded95,01ce074bf8e9,unleaded95,1.689,2026-09-13,2026-09-14,
01ce074bf8e9:unleaded98,01ce074bf8e9,unleaded98,1.739,2026-09-13,2026-09-14,
01d291cc5e9f:diesel,01d291cc5e9f,diesel,1.879,2026-09-13,2026-09-14,
01d291cc5e9f:heating_oil,01d291cc5e9f,heating_oil,1.550,2026-09-13,2026-09-14,
01d291cc5e9f:kerosene,01d291cc5e9f,kerosene,1.460,2026-09-13,2026-09-14,
01d291cc5e9f:unleaded95,01d291cc5e9f,unleaded95,1.615,2026-09-13,2026-09-14,
01d291cc5e9f:unleaded98,01d291cc5e9f,unleaded98,1.679,2026-09-13,2026-09-14,
02712f946c71:diesel,02712f946c71,diesel,1.969,2026-09-13,2026-09-14,
02712f946c71:heating_oil,02712f946c71,heating_oil,1.569,2026-09-13,2026-09-14,
02712f946c71:kerosene,02712f946c71,kerosene,1.399,2026-09-13,2026-09-14,
02712f946c71:unleaded95,02712f946c71,unleaded95,1.709,2026-09-13,2026-09-14,
02712f946c71:unleaded98,02712f946c71,unleaded98,1.739,2026-09-13,2026-09-14,
03fef4e54d18:diesel,03fef4e54d18,diesel,1.919,2026-09-13,2026-09-14,
03fef4e54d18:heating_oil,03fef4e54d18,heating_oil,1.559,2026-09-13,2026-09-14,
03fef4e54d18:kerosene,03fef4e54d18,kerosene,1.489,2026-09-13,2026-09-14,
03fef4e54d18:unleaded95,03fef4e54d18,unleaded95,1.649,2026-09-13,2026-09-14,
03fef4e54d18:unleaded98,03fef4e54d18,unleaded98,1.689,2026-09-13,2026-09-14,
04eb0dc6ce16:diesel,04eb0dc6ce16,diesel,1.920,2026-09-13,2026-09-14,
04eb0dc6ce16:heating_oil,04eb0dc6ce16,heating_oil,1.560,2026-09-13,2026-09-14,
04eb0dc6ce16:kerosene,04eb0dc6ce16,kerosene,1.490,2026-09-13,2026-09-14,
04eb0dc6ce16:unleaded95,04eb0dc6ce16,unleaded95,1.645,2026-09-13,2026-09-14,
04eb0dc6ce16:unleaded98,04eb0dc6ce16,unleaded98,1.695,2026-09-13,2026-09-14,
04f7bb8cfb51:diesel,04f7bb8cfb51,diesel,1.924,2026-09-13,2026-09-14,
04f7bb8cfb51:heating_oil,04f7bb8cfb51,heating_oil,1.639,2026-09-13,2026-09-14,
04f7bb8cfb51:kerosene,04f7bb8cfb51,kerosene,1.539,2026-09-13,2026-09-14,
04f7bb8cfb51:unleaded95,04f7bb8cfb51,unleaded95,1.649,2026-09-13,2026-09-14,
04f7bb8cfb51:unleaded98,04f7bb8cfb51,unleaded98,1.689,2026-09-13,2026-09-14,
0708c47ecb63:diesel,0708c47ecb63,diesel,1.909,2026-09-13,2026-09-14,
0708c47ecb63:heating_oil,0708c47ecb63,heating_oil,1.528,2026-09-13,2026-09-14,
0708c47ecb63:kerosene,0708c47ecb63,kerosene,1.435,2026-09-13,2026-09-14,
0708c47ecb63:unleaded95,0708c47ecb63,unleaded95,1.645,2026-09-13,2026-09-14,
0708c47ecb63:unleaded98,0708c47ecb63,unleaded98,1.699,2026-09-13,2026-09-14,
08c3056f889a:diesel,08c3056f889a,diesel,1.905,2026-09-13,2026-09-14,
08c3056f889a:unleaded95,08c3056f889a,unleaded95,1.647,2026-09-13,2026-09-14,
08c3056f889a:unleaded98,08c3056f889a,unleaded98,1.675,2026-09-13,2026-09-14,
09f80e0d2a27:diesel,09f80e0d2a27,diesel,1.859,2026-09-13,2026-09-14,
09f80e0d2a27:heating_oil,09f80e0d2a27,heating_oil,1.559,2026-09-13,2026-09-14,
09f80e0d2a27:kerosene,09f80e0d2a27,kerosene,1.489,2026-09-13,2026-09-14,
09f80e0d2a27:unleaded95,09f80e0d2a27,unleaded95,1.599,2026-09-13,2026-09-14,
09f80e0d2a27:unleaded98,09f80e0d2a27,unleaded98,1.689,2026-09-13,2026-09-14,
0a5e60e91490:diesel,0a5e60e91490,diesel,1.928,2026-09-13,2026-09-14,
0a5e60e91490:heating_oil,0a5e60e91490,heating_oil,1.547,2026-09-13,2026-09-14,
0a5e60e91490:kerosene,0a5e60e91490,kerosene,1.455,2026-09-13,2026-09-14,
0a5e60e91490:unleaded95,0a5e60e91490,unleaded95,1.669,2026-09-13,2026-09-14,
0a5e60e91490:unleaded98,0a5e60e91490,unleaded98,1.719,2026-09-13,2026-09-14,
0a9aabc9ae21:diesel,0a9aabc9ae21,diesel,1.898,2026-09-13,2026-09-14,
0a9aabc9ae21:heating_oil,0a9aabc9ae21,heating_oil,1.489,2026-09-13,2026-09-14,
0a9aabc9ae21:unleaded95,0a9aabc9ae21,unleaded95,1.629,2026-09-13,2026-09-14,
0a9aabc9ae21:unleaded98,0a9aabc9ae21,unleaded98,1.679,2026-09-13,2026-09-14,
0aefcb943b9f:diesel,0aefcb943b9f,diesel,1.908,2026-09-13,2026-09-14,
0aefcb943b9f:heating_oil,0aefcb943b9f,heating_oil,1.559,2026-09-13,2026-09-14,
0aefcb943b9f:kerosene,0aefcb943b9f,kerosene,1.469,2026-09-13,2026-09-14,
0aefcb943b9f:unleaded95,0aefcb943b9f,unleaded95,1.645,2026-09-13,2026-09-14,
0aefcb943b9f:unleaded98,0aefcb943b9f,unleaded98,1.675,2026-09-13,2026-09-14,
0af9f8bfb4c1:diesel,0af9f8bfb4c1,diesel,1.887,2026-09-13,2026-09-14,
0af9f8bfb4c1:heating_oil,0af9f8bfb4c1,heating_oil,1.550,2026-09-13,2026-09-14,
0af9f8bfb4c1:kerosene,0af9f8bfb4c1,kerosene,1.480,2026-09-13,2026-09-14,
0af9f8bfb4c1:unleaded95,0af9f8bfb4c1,unleaded95,1.624,2026-09-13,2026-09-14,
0af9f8bfb4c1:unleaded98,0af9f8bfb4c1,unleaded98,1.678,2026-09-13,2026-09-14,
0bc666d07f6e:diesel,0bc666d07f6e,diesel,1.919,2026-09-13,2026-09-14,
0bc666d07f6e:heating_oil,0bc666d07f6e,heating_oil,1.559,2026-09-13,2026-09-14,
0bc666d07f6e:kerosene,0bc666d07f6e,kerosene,1.489,2026-09-13,2026-09-14,
0bc666d07f6e:unleaded95,0bc666d07f6e,unleaded95,1.649,2026-09-13,2026-09-14,
0bc666d07f6e:unleaded98,0bc666d07f6e,unleaded98,1.689,2026-09-13,2026-09-14,
0c0bfa6b6769:diesel,0c0bfa6b6769,diesel,1.949,2026-09-13,2026-09-14,
0c0bfa6b6769:heating_oil,0c0bfa6b6769,heating_oil,1.549,2026-09-13,2026-09-14,
0c0bfa6b6769:kerosene,0c0bfa6b6769,kerosene,1.469,2026-09-13,2026-09-14,
0c0bfa6b6769:unleaded95,0c0bfa6b6769,unleaded95,1.689,2026-09-13,2026-09-14,
0c0bfa6b6769:unleaded98,0c0bfa6b6769,unleaded98,1.739,2026-09-13,2026-09-14,
0cd6f55cdb37:diesel,0cd6f55cdb37,diesel,1.859,2026-09-13,2026-09-14,
