station_id,brand,name,address,phone,area,district,first_seen,last_seen
65b480ad17ec,EKO,R.A.M. OIL CYPRUS LIMITED,Μάρκου Δράκου 1 Τ.Κ 5510,23922335,Αυγόρου,Famagusta,2026-09-13,2026-09-13
84148c33cbb4,EKO,R.A.M. OIL CYPRUS LIMITED,Λεωφ. Αρχ.Μακαρίου Γ' 158 Τ.Κ 5380,23828512,Δερύνεια,Famagusta,2026-09-13,2026-09-13
c42afad7f35d,EKO,R.A.M. OIL CYPRUS LIMITED,Παραλιμνίου 56 Τ.Κ 5311,23742550,Σωτήρα,Famagusta,2026-09-13,2026-09-13
320be8d683a2,EKO,Α/ΦΟΙ Α. & Ν. ΝΙΚΗΦΟΡΟΥ ΛΙΜΙΤΕΔ,Σώτος Χατζηπροκοπίου 22 Τ.Κ 5330,23723868,Αγία Νάπα,Famagusta,2026-09-13,2026-09-13
5567cd093258,EKO,ΑΔΕΛΦΟΙ ΑΡΤΥΜΑΤΑ (ΠΑΡΑΛΙΜΝΙ) ΛΙΜΙΤΕΔ,Λεωφ. Πρωταρά 161 Τ.Κ 5289,23822030,Παραλίμνι,Famagusta,2026-09-13,2026-09-13
50a8f4e8f043,EKO,ΑΔΕΛΦΟΙ ΑΡΤΥΜΑΤΑ (ΠΡΩΤΑΡΑΣ) ΛΙΜΙΤΕΔ,Λεωφ. Πρωταρά - Κάβο Γκρέκο 280 Τ.Κ 5310,23814200,Πρωταράς,Famagusta,2026-09-13,2026-09-13
b24c2084919b,EKO,ΧΡΥΣΟΥΛΛΑ ΣΤΑΘΗ ΛΙΜΙΤΕΔ,1ης Απριλίου 138 Τ.Κ 5280,23821343,Παραλίμνι,Famagusta,2026-09-13,2026-09-13
4e416e4c8b88,ENI,ΝΙΚΟΣ & ΜΑΡΚΟΣ ΠΙΤΤΑΚΗΣ,1ης Απριλίου 237 Τ.Κ 5280,23821328,Παραλίμνι,Famagusta,2026-09-13,2026-09-13
48113cc9c12a,ESSO,LI. MA. KA. & CO LTD,Λεωφ. Γ.Γρίβα Διγενή 236 Τ.Κ 5281,23811008,Παραλίμνι,Famagusta,2026-09-13,2026-09-13
92d17347e22a,ESSO,TSOIL ENTERPRISES LIMITED,Βαρωσίων 39 Τ.Κ 5522,23962424,Βρυσούλες,Famagusta,2026-09-13,2026-09-13
364d076c3a94,ESSO,ΑΝΤΩΝΑΚΗΣ ΚΟΥΡΡΗΣ & ΥΙΟΣ ΛΙΜΙΤΕΔ,Λεωφ. Αρχ. Μακαρίου Γ' 50 Τ.Κ 5350,23821472,Φρέναρος,Famagusta,2026-09-13,2026-09-13
ce3d19ee3c70,ESSO,ΛΕΥΤΕΡΗΣ ΚΑΜΗΛΑΡΗΣ (ΕΠΙΧΕΙΡΗΣΕΙΣ) ΛΙΜΙΤΕΔ,1ης Απριλίου 165 Τ.Κ 5280,23822600,Παραλίμνι,Famagusta,2026-09-13,2026-09-13
9cfc7d5c5cf3,ESSO,ΜΑΡΙΟΣ Γ. ΠΑΝΑΓΗ & ΣΙΑ ΛΤΔ,Λεωφ. Λάρνακος - Αμμοχώστου Τ.Κ 5523,24721122,Δασάκι της Άχνας,Famagusta,2026-09-13,2026-09-13
ea9a4cf7c4b6,ESSO,ΣΤΥΛΛΗ & ΙΩΣΗΦ ΕΠΙΧΕΙΡΗΣΕΙΣ ΛΙΜΙΤΕΔ,1ης Απριλίου 33 Τ.Κ 5320,23943060,Λιοπέτρι,Famagusta,2026-09-13,2026-09-13
e9cef6250b69,PETROLINA,PETROLINA (HOLDINGS) PUBLIC LIMITED,Λεωφ. Γ.Γρίβα Διγενή Τ.Κ 5523,24720179,Δασάκι της Άχνας,Famagusta,2026-09-13,2026-09-13
6ce5fb3545fe,PETROLINA,PETROLINA (HOLDINGS) PUBLIC LIMITED,Λεωφ. Γ.Γρίβα Διγενή 42 Τ.Κ 5281,23730635,Παραλίμνι,Famagusta,2026-09-13,2026-09-13
a07b05ec2cfc,PETROLINA,PETROLINA (HOLDINGS) PUBLIC LIMITED,Αγίας Θέκλης 60 Τ.Κ 5390,23824959,Σωτήρα,Famagusta,2026-09-13,2026-09-13
8f64c72c7f44,PETROLINA,PETROLINA (HOLDINGS) PUBLIC LIMITED,Τεύκρου Ανθία 54 Τ.Κ 5330,23721742,Αγία Νάπα,Famagusta,2026-09-13,2026-09-13
efca9d48e28b,PETROLINA,PETROLINA (HOLDINGS) PUBLIC LIMITED,Φώτη Πίττα 85 Τ.Κ 5350,23731111,Φρέναρος,Famagusta,2026-09-13,2026-09-13
4ae21a9b5efa,PETROLINA,PETROLINA (HOLDINGS) PUBLIC LIMITED,Λεωφ. Πρωταρά - Κάβο Γκρέκο 227 Τ.Κ 5295,23831601,Πρωταράς,Famagusta,2026-09-13,2026-09-13
366a0c1d06e2,PETROLINA,Α. ΤΡΙΣΟΚΚΑΣ & ΥΙΟΣ ΛΙΜΙΤΕΔ,Γεωργίου Π.Κατσιάρη 100 Τ.Κ 5320,23942333,Λιοπέτρι,Famagusta,2026-09-13,2026-09-13
f31b0c4ec3e6,PETROLINA,ΝΙΚΟΛΑΟΥ Α. ΠΑΝΙΚΟΣ,Λεωφ. Αμμοχώστου 74 Τ.Κ 5380,23821322,Δερύνεια,Famagusta,2026-09-13,2026-09-13
6cbad4fb4f78,SHELL,CORAL ENERGY PRODUCTS CYPRUS LTD,Λεωφ. Αμμοχώστου 83 Τ.Κ 5390,23828803,Σωτήρα,Famagusta,2026-09-13,2026-09-13
0ed0b92e6d0c,SHELL,CORAL ENERGY PRODUCTS CYPRUS LTD,Λεωφ. Αμμοχώστου 58 Τ.Κ 5380,23821431,Δερύνεια,Famagusta,2026-09-13,2026-09-13
216880e896f0,SHELL,CORAL ENERGY PRODUCTS CYPRUS LTD,1ης Απριλίου 372 Τ.Κ 5280,23723031,Παραλίμνι,Famagusta,2026-09-13,2026-09-13
743927ebc86a,STAROIL,STAROIL (CYPRUS) LTD,Λεωφ. Καρύων 17 Τ.Κ 5510,23922182,Αυγόρου,Famagusta,2026-09-13,2026-09-13
cc2e49c3c04f,STAROIL,STAROIL (CYPRUS) LTD,Έξοδος αυτοκινητοδρόμου προς Λιοπέτρι (δρόμος Ε309) Τ.Κ 5330,23833170,Λιοπέτρι,Famagusta,2026-09-13,2026-09-13
ae7fb39a6ec9,EKO,D S KOMNINAKIS FUELS LTD,Κωνσταντινουπόλεως 85 Τ.Κ 7041,24333038,Δρόμος Καλαβασού - Ζυγίου,Larnaca,2026-09-13,2026-09-13
de92271f6ac9,EKO,K.L.D. PETROLEUM LIMITED,Δεκέλεια Τ.Κ,24723251,Δεκέλεια,Larnaca,2026-09-13,2026-09-13
dce42f6faf2a,EKO,LESONI PETROLIUM LTD,Αρχ. Μακαρίου Γ΄ 18 (Παλαιός Δρόμος Λάρνακας-Λεμεσού) Τ.Κ 7571,24432522,Αγγλισίδες,Larnaca,2026-09-13,2026-09-13
b2f690bf5cb7,EKO,PETROU ENERGY SOLUTION LIMITED,Κυριάκου Μάτση 100 Τ.Κ 7102,24532888,Αραδίππου,Larnaca,2026-09-13,2026-09-13
d82e742710ef,EKO,R.A.M. OIL CYPRUS LIMITED,"28ης Οκτωβρίου 12, Κόρνος Τ.Κ 7640",22533238,Κόρνος,Larnaca,2026-09-13,2026-09-13
565dd6821200,EKO,R.A.M. OIL CYPRUS LIMITED,Λεωφ. Αρχ. Μακαρίου Γ΄ 35 Τ.Κ 6017,24652743,Λάρνακα,Larnaca,2026-09-13,2026-09-13
0effbc30de91,EKO,R.A.M. OIL CYPRUS LIMITED,Λεωφ. Αρχ. Μακαρίου Γ΄ 20 Τ.Κ 7080,24661133,Πύλα,Larnaca,2026-09-13,2026-09-13
b109dbc73edf,EKO,R.A.M. OIL CYPRUS LIMITED,Λεωφ. Αρτέμιδος 29 Τ.Κ 6025,24652131,Λάρνακα,Larnaca,2026-09-13,2026-09-13
66d305f4af2e,EKO,R.A.M. OIL CYPRUS LIMITED,"Λεώφ. Δημητρίου Παπανικολή 6, Άγιοι Ανάργυροι Τ.Κ 6053",24668200,Λάρνακα,Larnaca,2026-09-13,2026-09-13
b20e8e600357,EKO,R.A.M. OIL CYPRUS LIMITED,Λεωφ. Αρχ. Μακαρίου Γ΄ 82 Τ.Κ 7550,24424020,Κίτι,Larnaca,2026-09-13,2026-09-13
624124474669,EKO,R.A.M. OIL CYPRUS LIMITED,Λεωφ. Γ.Γρίβα Διγενή 7 Τ.Κ 6010,24664300,Λάρνακα,Larnaca,2026-09-13,2026-09-13
