date,reported_total,distinct,available,with_unit_price,promo_with_original_price,promo_labelled,new,changed,delisted,relisted
2026-09-12,15207,15207,,9790,1445,,15207,0,0,0
2026-09-13,15214,15214,15214,9796,1445,3813,0,4,0,0
2026-09-14,15214,15214,15214,9796,1244,3611,0,222,0,0
2026-09-15,15219,15219,15219,9801,1248,3625,5,276,0,0
2026-09-16,15227,15227,15227,9811,1249,3646,11,384,3,0
2026-09-17,15203,15203,15203,9802,1264,3659,3,438,27,0
2026-09-18,15186,15186,15186,9791,1251,3657,1,354,18,0
2026-09-19,15195,15195,15195,9800,1257,3688,0,0,0,0
2026-09-20,15195,15195,15195,9800,1257,3683,0,443,0,0
2026-09-21,15195,15195,15195,9800,1257,3686,0,232,0,0
2026-09-22,15195,15195,15195,9800,1257,3684,0,248,0,0
